date,city,temperature_C,wind_speed_km_h,solar_radiation_W_m2
2019-03-22 00:00:00,Yaoundé,20.64,7.05,193.2
2019-03-23 00:00:00,Yaoundé,23.09,6.37,816.94
2019-03-24 00:00:00,Yaoundé,28.71,11.23,981.81
2019-03-25 00:00:00,Yaoundé,29.33,18.84,688.13
2019-03-26 00:00:00,Yaoundé,32.83,9.12,668.18
2019-03-27 00:00:00,Yaoundé,30.85,10.05,200.13
2019-03-28 00:00:00,Yaoundé,33.11,17.16,285.42
2019-03-29 00:00:00,Yaoundé,28.51,2.23,969.95
2019-03-30 00:00:00,Yaoundé,28.33,15.66,233.09
2019-03-31 00:00:00,Yaoundé,34.37,8.17,426.94
2019-04-01 00:00:00,Yaoundé,25.73,4.45,714.99
2019-04-02 00:00:00,Yaoundé,27.25,13.2,269.97
2019-04-03 00:00:00,Yaoundé,25.94,7.23,756.73
2019-04-04 00:00:00,Yaoundé,32.48,6.42,525.58
2019-04-05 00:00:00,Yaoundé,25.3,8.96,966
2019-04-06 00:00:00,Yaoundé,21.65,5.13,298.37
2019-04-07 00:00:00,Yaoundé,34.43,19.93,966.69
2019-04-08 00:00:00,Yaoundé,29.41,6.35,998.19
2019-04-09 00:00:00,Yaoundé,24.77,4.8,206.6
2019-04-10 00:00:00,Yaoundé,22.42,5.21,796.65
2019-04-11 00:00:00,Yaoundé,31.67,7.48,472.61
2019-04-12 00:00:00,Yaoundé,32.91,18.42,248.73
2019-04-13 00:00:00,Yaoundé,29.69,17.01,509.99
2019-04-14 00:00:00,Yaoundé,30.75,17.35,104.52
2019-04-15 00:00:00,Yaoundé,27.82,11.41,720.02
2019-04-16 00:00:00,Yaoundé,26.29,17.18,297.26
2019-04-17 00:00:00,Yaoundé,31.52,2.7,572.36
2019-04-18 00:00:00,Yaoundé,29.56,13.81,619.3
2019-04-19 00:00:00,Yaoundé,31.89,9.34,408.14
2019-04-20 00:00:00,Yaoundé,25.83,4.88,417.46
2019-04-21 00:00:00,Yaoundé,22.64,1.08,511.17
2019-04-22 00:00:00,Yaoundé,33.29,4.3,742.28
2019-04-23 00:00:00,Yaoundé,24.3,14.86,386.6
2019-04-24 00:00:00,Yaoundé,23.13,19.86,780.42
2019-04-25 00:00:00,Yaoundé,23.9,13.54,542.67
2019-04-26 00:00:00,Yaoundé,29.23,4.6,148.4
2019-04-27 00:00:00,Yaoundé,29.32,12.27,921.4
2019-04-28 00:00:00,Yaoundé,30.62,10.05,792.15
2019-04-29 00:00:00,Yaoundé,25.41,3.36,952.26
2019-04-30 00:00:00,Yaoundé,34.17,10.73,766.11
2019-05-01 00:00:00,Yaoundé,32.71,1.92,570.29
2019-05-02 00:00:00,Yaoundé,22.89,19.66,224.08
2019-05-03 00:00:00,Yaoundé,34.61,12.53,586.23
2019-05-04 00:00:00,Yaoundé,23.21,2.44,546.63
2019-05-05 00:00:00,Yaoundé,30.4,19.49,518.61
2019-05-06 00:00:00,Yaoundé,22.9,19.93,244.29
2019-05-07 00:00:00,Yaoundé,26.31,10.38,495.43
2019-05-08 00:00:00,Yaoundé,24.76,16.01,721.38
2019-05-09 00:00:00,Yaoundé,23.36,7.1,369.78
2019-05-10 00:00:00,Yaoundé,26.7,1.63,170.39
2019-05-11 00:00:00,Yaoundé,27.77,9.38,580.2
2019-05-12 00:00:00,Yaoundé,29.15,5.38,317.92
2019-05-13 00:00:00,Yaoundé,34.42,6.3,654.76
2019-05-14 00:00:00,Yaoundé,22.82,18.03,683.37
2019-05-15 00:00:00,Yaoundé,34.81,1.57,423.42
2019-05-16 00:00:00,Yaoundé,27.63,11.43,128.48
2019-05-17 00:00:00,Yaoundé,21.05,12.86,853.99
2019-05-18 00:00:00,Yaoundé,34.39,15.27,310.17
2019-05-19 00:00:00,Yaoundé,27.77,17.51,215.52
2019-05-20 00:00:00,Yaoundé,30.22,6.56,712.39
2019-05-21 00:00:00,Yaoundé,26.19,14.76,372.88
2019-05-22 00:00:00,Yaoundé,26.2,1.43,865.29
2019-05-23 00:00:00,Yaoundé,21.89,0.72,471.94
2019-05-24 00:00:00,Yaoundé,28.94,7.98,193.92
2019-05-25 00:00:00,Yaoundé,21.09,6.62,320
2019-05-26 00:00:00,Yaoundé,28.09,5.98,621.12
2019-05-27 00:00:00,Yaoundé,34.45,1.59,459.57
2019-05-28 00:00:00,Yaoundé,25.66,12.64,712.5
2019-05-29 00:00:00,Yaoundé,27.17,19.97,287.41
2019-05-30 00:00:00,Yaoundé,29.88,16.63,150.52
2019-05-31 00:00:00,Yaoundé,20.71,17.94,434.44
2019-06-01 00:00:00,Yaoundé,25.38,15.54,974.89
2019-06-02 00:00:00,Yaoundé,26.75,10.16,443.52
2019-06-03 00:00:00,Yaoundé,24.66,18.82,307.96
2019-06-04 00:00:00,Yaoundé,26.77,19.65,848.81
2019-06-05 00:00:00,Yaoundé,30.86,10.51,737.62
2019-06-06 00:00:00,Yaoundé,21.71,11.29,781.31
2019-06-07 00:00:00,Yaoundé,26.65,18.91,169.04
2019-06-08 00:00:00,Yaoundé,32.56,18.24,901.15
2019-06-09 00:00:00,Yaoundé,33.18,9.31,740.12
2019-06-10 00:00:00,Yaoundé,30.95,1.97,424.7
2019-06-11 00:00:00,Yaoundé,20.72,18.81,748.09
2019-06-12 00:00:00,Yaoundé,25.82,0.55,326.24
2019-06-13 00:00:00,Yaoundé,27.84,10.16,921.95
2019-06-14 00:00:00,Yaoundé,29.48,14.85,827.19
2019-06-15 00:00:00,Yaoundé,31.61,19.51,987.05
2019-06-16 00:00:00,Yaoundé,25.42,9.83,697.39
2019-06-17 00:00:00,Yaoundé,34.26,4.29,269.61
2019-06-18 00:00:00,Yaoundé,32.77,16.85,335.79
2019-06-19 00:00:00,Yaoundé,30.99,7.55,294.51
2019-06-20 00:00:00,Yaoundé,29.18,4.27,768.62
2019-06-21 00:00:00,Yaoundé,27.6,0.18,293.96
2019-06-22 00:00:00,Yaoundé,23.52,6.45,932.54
2019-06-23 00:00:00,Yaoundé,28.63,4.28,196.46
2019-06-24 00:00:00,Yaoundé,32.11,7.52,735.62
2019-06-25 00:00:00,Yaoundé,25.92,5.86,677.23
2019-06-26 00:00:00,Yaoundé,30.9,13.2,173.52
2019-06-27 00:00:00,Yaoundé,23.08,2.59,664.38
2019-06-28 00:00:00,Yaoundé,21.9,0.82,454.18
2019-06-29 00:00:00,Yaoundé,24.6,0.14,132.45
2019-06-30 00:00:00,Yaoundé,24.89,15.93,277.64
2019-07-01 00:00:00,Yaoundé,27.79,7.9,735.28
2019-07-02 00:00:00,Yaoundé,20.82,16.48,603.2
2019-07-03 00:00:00,Yaoundé,29.4,5.82,239.69
2019-07-04 00:00:00,Yaoundé,31.09,12.58,716.14
2019-07-05 00:00:00,Yaoundé,33.91,16.34,448.34
2019-07-06 00:00:00,Yaoundé,26.89,10.54,193.9
2019-07-07 00:00:00,Yaoundé,20.01,0.26,682.89
2019-07-08 00:00:00,Yaoundé,33.91,13.82,252.86
2019-07-09 00:00:00,Yaoundé,21.83,10.34,474.58
2019-07-10 00:00:00,Yaoundé,23.86,4.13,868.66
2019-07-11 00:00:00,Yaoundé,24.44,11.04,690.73
2019-07-12 00:00:00,Yaoundé,23.29,5.86,360.42
2019-07-13 00:00:00,Yaoundé,23.37,2.72,964.93
2019-07-14 00:00:00,Yaoundé,21.11,13.28,536.68
2019-07-15 00:00:00,Yaoundé,26.7,8.09,950.74
2019-07-16 00:00:00,Yaoundé,24.93,15.62,352.97
2019-07-17 00:00:00,Yaoundé,21.85,3.73,128.84
2019-07-18 00:00:00,Yaoundé,27.43,7.41,286.27
2019-07-19 00:00:00,Yaoundé,20.43,2.76,587.9
2019-07-20 00:00:00,Yaoundé,33.59,3.31,884.26
2019-07-21 00:00:00,Yaoundé,24.41,15.79,175.69
2019-07-22 00:00:00,Yaoundé,23.54,3.14,840.9
2019-07-23 00:00:00,Yaoundé,27.5,3.62,839.17
2019-07-24 00:00:00,Yaoundé,33.75,13.26,333.72
2019-07-25 00:00:00,Yaoundé,34.97,17.6,771.13
2019-07-26 00:00:00,Yaoundé,21.64,15.33,874.58
2019-07-27 00:00:00,Yaoundé,22,12.9,309.2
2019-07-28 00:00:00,Yaoundé,23.41,3.89,447.12
2019-07-29 00:00:00,Yaoundé,27.48,10.51,548.83
2019-07-30 00:00:00,Yaoundé,22.14,9.18,923.89
2019-07-31 00:00:00,Yaoundé,25.87,2.77,836.08
2019-08-01 00:00:00,Yaoundé,31.09,8.48,982.66
2019-08-02 00:00:00,Yaoundé,26.49,6.65,819.55
2019-08-03 00:00:00,Yaoundé,20.97,16.48,568.87
2019-08-04 00:00:00,Yaoundé,26.13,6.01,132.87
2019-08-05 00:00:00,Yaoundé,28.71,11.51,894.08
2019-08-06 00:00:00,Yaoundé,29.56,11.82,778.21
2019-08-07 00:00:00,Yaoundé,31.26,14.64,423.66
2019-08-08 00:00:00,Yaoundé,26.47,10.41,993.96
2019-08-09 00:00:00,Yaoundé,34.77,19.66,668.95
2019-08-10 00:00:00,Yaoundé,21.35,19.97,595.85
2019-08-11 00:00:00,Yaoundé,33.21,12.21,304.62
2019-08-12 00:00:00,Yaoundé,33.43,2.74,300.83
2019-08-13 00:00:00,Yaoundé,22.42,7.1,145.93
2019-08-14 00:00:00,Yaoundé,33.67,16.67,987.87
2019-08-15 00:00:00,Yaoundé,26.71,17.77,662.47
2019-08-16 00:00:00,Yaoundé,28.17,15.03,330.53
2019-08-17 00:00:00,Yaoundé,28.21,3.7,119.74
2019-08-18 00:00:00,Yaoundé,33.95,8.5,920.16
2019-08-19 00:00:00,Yaoundé,21.99,17.91,778.93
2019-08-20 00:00:00,Yaoundé,29.08,15.75,120.99
2019-08-21 00:00:00,Yaoundé,27,19.53,632.64
2019-08-22 00:00:00,Yaoundé,28.92,15.17,311.16
2019-08-23 00:00:00,Yaoundé,33.44,5.69,116.92
2019-08-24 00:00:00,Yaoundé,26.35,7.34,230.36
2019-08-25 00:00:00,Yaoundé,30.6,17.36,378.21
2019-08-26 00:00:00,Yaoundé,28.68,12.45,130.89
2019-08-27 00:00:00,Yaoundé,30.86,6.3,610.79
2019-08-28 00:00:00,Yaoundé,32.68,16.1,112.65
2019-08-29 00:00:00,Yaoundé,21.73,17.36,383.65
2019-08-30 00:00:00,Yaoundé,24.22,3.74,852.78
2019-08-31 00:00:00,Yaoundé,24.74,15.87,916.62
2019-09-01 00:00:00,Yaoundé,34.83,0.66,317.29
2019-09-02 00:00:00,Yaoundé,27.21,7.16,600.72
2019-09-03 00:00:00,Yaoundé,23.7,10.64,457.93
2019-09-04 00:00:00,Yaoundé,31.23,15.16,559.38
2019-09-05 00:00:00,Yaoundé,24.23,3.06,167.03
2019-09-06 00:00:00,Yaoundé,31.53,13.02,170.92
2019-09-07 00:00:00,Yaoundé,23.74,0.79,898.4
2019-09-08 00:00:00,Yaoundé,22.63,8.08,988.64
2019-09-09 00:00:00,Yaoundé,30.22,19.34,558.3
2019-09-10 00:00:00,Yaoundé,23.13,0.97,104.85
2019-09-11 00:00:00,Yaoundé,34.67,11.64,787.28
2019-09-12 00:00:00,Yaoundé,30.82,16.62,230.32
2019-09-13 00:00:00,Yaoundé,33.27,3.37,215
2019-09-14 00:00:00,Yaoundé,24.84,17.93,143.84
2019-09-15 00:00:00,Yaoundé,20.31,0.36,342.71
2019-09-16 00:00:00,Yaoundé,23.75,19.43,225
2019-09-17 00:00:00,Yaoundé,30.03,6.71,140.9
2019-09-18 00:00:00,Yaoundé,26.43,1.39,267.26
2019-09-19 00:00:00,Yaoundé,30.51,1.26,482.86
2019-09-20 00:00:00,Yaoundé,29.76,12.19,926.23
2019-09-21 00:00:00,Yaoundé,29.63,15.76,286.97
2019-09-22 00:00:00,Yaoundé,33.98,8.1,355.54
2019-09-23 00:00:00,Yaoundé,20.72,5.47,210.85
2019-09-24 00:00:00,Yaoundé,25.09,19.2,256.37
2019-09-25 00:00:00,Yaoundé,20.55,4.91,600.04
2019-09-26 00:00:00,Yaoundé,29.69,8.28,969.88
2019-09-27 00:00:00,Yaoundé,29.92,5.96,705.95
2019-09-28 00:00:00,Yaoundé,33.01,19.42,940.46
2019-09-29 00:00:00,Yaoundé,33.53,19.61,721.43
2019-09-30 00:00:00,Yaoundé,31.9,3.88,761.13
2019-10-01 00:00:00,Yaoundé,20.71,11.7,843.4
2019-10-02 00:00:00,Yaoundé,34.14,9.1,261.18
2019-10-03 00:00:00,Yaoundé,28.49,9.09,285.78
2019-10-04 00:00:00,Yaoundé,21.21,4.12,778.42
2019-10-05 00:00:00,Yaoundé,24.92,19.98,653.98
2019-10-06 00:00:00,Yaoundé,32.46,18.72,250.76
2019-10-07 00:00:00,Yaoundé,33.86,3.31,190.54
2019-10-08 00:00:00,Yaoundé,25.5,5.42,120.67
2019-10-09 00:00:00,Yaoundé,29.35,0.99,309.44
2019-10-10 00:00:00,Yaoundé,20.84,6.72,779.24
2019-10-11 00:00:00,Yaoundé,22.29,19.22,140.81
2019-10-12 00:00:00,Yaoundé,22.51,0.57,501.71
2019-10-13 00:00:00,Yaoundé,34.77,2.62,291.36
2019-10-14 00:00:00,Yaoundé,30,15.81,169.9
2019-10-15 00:00:00,Yaoundé,33.47,19.74,155.73
2019-10-16 00:00:00,Yaoundé,22.57,19.78,909.4
2019-10-17 00:00:00,Yaoundé,23.04,14.51,387
2019-10-18 00:00:00,Yaoundé,25.97,3.7,356.07
2019-10-19 00:00:00,Yaoundé,23.64,16.56,972.44
2019-10-20 00:00:00,Yaoundé,29.8,15.26,285.59
2019-10-21 00:00:00,Yaoundé,21.79,8.84,629.08
2019-10-22 00:00:00,Yaoundé,28.77,18.68,505.11
2019-10-23 00:00:00,Yaoundé,33.5,16.61,127.61
2019-10-24 00:00:00,Yaoundé,28.64,12.59,836.12
2019-10-25 00:00:00,Yaoundé,28.95,0.53,956.49
2019-10-26 00:00:00,Yaoundé,28.52,3.71,551.22
2019-10-27 00:00:00,Yaoundé,28.42,17.05,383.15
2019-10-28 00:00:00,Yaoundé,22.78,17.47,207.5
2019-10-29 00:00:00,Yaoundé,22.12,13.86,689.19
2019-10-30 00:00:00,Yaoundé,24.63,0.44,493.12
2019-10-31 00:00:00,Yaoundé,22.98,11.41,159.28
2019-11-01 00:00:00,Yaoundé,26.76,7.24,633.94
2019-11-02 00:00:00,Yaoundé,27.24,1.97,453.76
2019-11-03 00:00:00,Yaoundé,21.61,19.88,990.29
2019-11-04 00:00:00,Yaoundé,28.73,1.62,118.26
2019-11-05 00:00:00,Yaoundé,20.91,6.83,360.11
2019-11-06 00:00:00,Yaoundé,23,14.66,135.49
2019-11-07 00:00:00,Yaoundé,25.58,4.52,817.45
2019-11-08 00:00:00,Yaoundé,25.96,19.41,491.5
2019-11-09 00:00:00,Yaoundé,34.33,2.15,494.16
2019-11-10 00:00:00,Yaoundé,23.77,15.42,917.53
2019-11-11 00:00:00,Yaoundé,33.37,8.89,264.49
2019-11-12 00:00:00,Yaoundé,26.15,18.69,408.57
2019-11-13 00:00:00,Yaoundé,28.71,5.04,726.07
2019-11-14 00:00:00,Yaoundé,25.33,12.75,529.28
2019-11-15 00:00:00,Yaoundé,20.34,16.65,968.75
2019-11-16 00:00:00,Yaoundé,34.99,9.3,598.18
2019-11-17 00:00:00,Yaoundé,25.97,12.94,863.07
2019-11-18 00:00:00,Yaoundé,33.7,4.06,720.59
2019-11-19 00:00:00,Yaoundé,34.42,18.69,849.41
2019-11-20 00:00:00,Yaoundé,23.62,8.71,392.37
2019-11-21 00:00:00,Yaoundé,24.9,14.35,103.25
2019-11-22 00:00:00,Yaoundé,21.22,8.05,937.85
2019-11-23 00:00:00,Yaoundé,27.25,19.67,370.42
2019-11-24 00:00:00,Yaoundé,20.82,17.62,712.33
2019-11-25 00:00:00,Yaoundé,24.27,7.39,426.65
2019-11-26 00:00:00,Yaoundé,21.33,1.42,710.4
2019-11-27 00:00:00,Yaoundé,27.49,17.42,133.91
2019-11-28 00:00:00,Yaoundé,23.16,8.06,943.29
2019-11-29 00:00:00,Yaoundé,21.28,18.41,696.35
2019-11-30 00:00:00,Yaoundé,34.68,7.19,657.84
2019-12-01 00:00:00,Yaoundé,25.48,15.27,470
2019-12-02 00:00:00,Yaoundé,21.88,0.73,973.36
2019-12-03 00:00:00,Yaoundé,33.67,7.84,890.99
2019-12-04 00:00:00,Yaoundé,27.46,13.11,596.96
2019-12-05 00:00:00,Yaoundé,30.57,15.98,523.26
2019-12-06 00:00:00,Yaoundé,25.62,13.12,396.89
2019-12-07 00:00:00,Yaoundé,23.04,12.87,586.94
2019-12-08 00:00:00,Yaoundé,30.14,5.62,782.97
2019-12-09 00:00:00,Yaoundé,24.6,11.2,902.93
2019-12-10 00:00:00,Yaoundé,26.02,17.07,320.21
2019-12-11 00:00:00,Yaoundé,31.2,13.85,511.95
2019-12-12 00:00:00,Yaoundé,34.73,0.78,871.99
2019-12-13 00:00:00,Yaoundé,29.69,6.15,926.08
2019-12-14 00:00:00,Yaoundé,24.68,10.01,837.49
2019-12-15 00:00:00,Yaoundé,20.57,9.35,233.63
2019-12-16 00:00:00,Yaoundé,23.69,1.37,210.88
2019-12-17 00:00:00,Yaoundé,34.58,10.17,445.73
2019-12-18 00:00:00,Yaoundé,24.27,4.35,582.92
2019-12-19 00:00:00,Yaoundé,22.02,12.96,869.38
2019-12-20 00:00:00,Yaoundé,21.42,8.33,801.72
2019-12-21 00:00:00,Yaoundé,21.98,0.5,184.32
2019-12-22 00:00:00,Yaoundé,31.4,14.25,494.96
2019-12-23 00:00:00,Yaoundé,24.96,6.56,469.42
2019-12-24 00:00:00,Yaoundé,23.32,3.06,405.83
2019-12-25 00:00:00,Yaoundé,32.82,15.17,986.7
2019-12-26 00:00:00,Yaoundé,33.98,11.68,260.23
2019-12-27 00:00:00,Yaoundé,20.29,0.84,802.96
2019-12-28 00:00:00,Yaoundé,20.27,11.12,584.32
2019-12-29 00:00:00,Yaoundé,34.25,19.94,838.27
2019-12-30 00:00:00,Yaoundé,21.15,9.54,358.58
2019-12-31 00:00:00,Yaoundé,28.37,7.78,472.16
2020-01-01 00:00:00,Yaoundé,28.74,17.33,420.6
2020-01-02 00:00:00,Yaoundé,32.58,2.12,892.45
2020-01-03 00:00:00,Yaoundé,26.21,18.59,459.07
2020-01-04 00:00:00,Yaoundé,25.24,9.3,517.64
2020-01-05 00:00:00,Yaoundé,21.07,16.53,327.95
2020-01-06 00:00:00,Yaoundé,30.43,8.12,287.4
2020-01-07 00:00:00,Yaoundé,25.77,16.97,644.2
2020-01-08 00:00:00,Yaoundé,27.68,13.97,117.58
2020-01-09 00:00:00,Yaoundé,28.77,1.28,627.23
2020-01-10 00:00:00,Yaoundé,32.02,10.39,559.05
2020-01-11 00:00:00,Yaoundé,29.31,0.66,460.72
2020-01-12 00:00:00,Yaoundé,30.45,18.48,708.61
2020-01-13 00:00:00,Yaoundé,34.89,6.76,238.13
2020-01-14 00:00:00,Yaoundé,22.27,17.59,831.2
2020-01-15 00:00:00,Yaoundé,22.83,3.66,817.77
2020-01-16 00:00:00,Yaoundé,26.64,4.09,308.89
2020-01-17 00:00:00,Yaoundé,27.32,4.82,321.54
2020-01-18 00:00:00,Yaoundé,20.37,10.22,393.18
2020-01-19 00:00:00,Yaoundé,23.26,10.91,978.78
2020-01-20 00:00:00,Yaoundé,26.25,16.33,892.3
2020-01-21 00:00:00,Yaoundé,28.98,1.83,638.74
2020-01-22 00:00:00,Yaoundé,34.36,8.64,486.36
2020-01-23 00:00:00,Yaoundé,28.01,12.5,108.43
2020-01-24 00:00:00,Yaoundé,28.31,11.7,978.14
2020-01-25 00:00:00,Yaoundé,22.31,14.12,335.34
2020-01-26 00:00:00,Yaoundé,27.98,16.09,524.51
2020-01-27 00:00:00,Yaoundé,33.5,13.53,565.72
2020-01-28 00:00:00,Yaoundé,32.54,11.52,515.54
2020-01-29 00:00:00,Yaoundé,24.92,19.09,971.29
2020-01-30 00:00:00,Yaoundé,25.39,0.27,886.1
2020-01-31 00:00:00,Yaoundé,24.99,6.38,851.67
2020-02-01 00:00:00,Yaoundé,22.29,6.09,271.03
2020-02-02 00:00:00,Yaoundé,33.63,18.84,922.55
2020-02-03 00:00:00,Yaoundé,27.71,7.49,524.12
2020-02-04 00:00:00,Yaoundé,24.85,5.87,412.98
2020-02-05 00:00:00,Yaoundé,32.07,3.58,199.44
2020-02-06 00:00:00,Yaoundé,21.06,7.41,654.95
2020-02-07 00:00:00,Yaoundé,25.12,4.63,830.63
2020-02-08 00:00:00,Yaoundé,28.92,19.25,954.83
2020-02-09 00:00:00,Yaoundé,26.26,11.7,970.58
2020-02-10 00:00:00,Yaoundé,33.33,8.3,457.83
2020-02-11 00:00:00,Yaoundé,34.64,12.02,464.27
2020-02-12 00:00:00,Yaoundé,30.52,15.57,443.55
2020-02-13 00:00:00,Yaoundé,29.31,0.64,458.19
2020-02-14 00:00:00,Yaoundé,33.64,2.95,626.26
2020-02-15 00:00:00,Yaoundé,22.01,2.45,129.44
2020-02-16 00:00:00,Yaoundé,24.77,3.42,778.56
2020-02-17 00:00:00,Yaoundé,34.73,17,867.73
2020-02-18 00:00:00,Yaoundé,28.53,2.32,837.35
2020-02-19 00:00:00,Yaoundé,29.7,5.22,988.68
2020-02-20 00:00:00,Yaoundé,33.72,7.73,606.92
2020-02-21 00:00:00,Yaoundé,28.58,5.65,764.8
2020-02-22 00:00:00,Yaoundé,34.5,15.13,907.89
2020-02-23 00:00:00,Yaoundé,23.19,7.56,811.95
2020-02-24 00:00:00,Yaoundé,22.1,7.88,873.93
2020-02-25 00:00:00,Yaoundé,26.38,13.77,697.6
2020-02-26 00:00:00,Yaoundé,22.82,7.71,915.49
2020-02-27 00:00:00,Yaoundé,24.91,1.12,223.02
2020-02-28 00:00:00,Yaoundé,22.69,18.33,715.68
2020-02-29 00:00:00,Yaoundé,24.37,4.8,840.15
2020-03-01 00:00:00,Yaoundé,33.44,13.4,530.72
2020-03-02 00:00:00,Yaoundé,25.95,10.66,344.22
2020-03-03 00:00:00,Yaoundé,20.24,6.24,679.55
2020-03-04 00:00:00,Yaoundé,34.09,16.64,799.62
2020-03-05 00:00:00,Yaoundé,24.28,18.9,686.39
2020-03-06 00:00:00,Yaoundé,23.73,8.47,670.73
2020-03-07 00:00:00,Yaoundé,20.41,16.36,992.62
2020-03-08 00:00:00,Yaoundé,29.71,13.69,985.77
2020-03-09 00:00:00,Yaoundé,34.32,11.65,423.99
2020-03-10 00:00:00,Yaoundé,27.61,3.38,357.29
2020-03-11 00:00:00,Yaoundé,29.19,2.61,222.72
